timestamp, utilization.gpu [%], memory.used [MiB]
2026/09/25 06:21:37.241, 19 %, 56 MiB
2026/09/25 06:21:38.241, 42 %, 56 MiB
2026/09/25 06:21:39.242, 42 %, 56 MiB
2026/09/25 06:21:40.242, 19 %, 56 MiB
2026/09/25 06:21:41.242, 41 %, 56 MiB
2026/09/25 06:21:42.242, 42 %, 56 MiB
2026/09/25 06:21:43.243, 19 %, 56 MiB
2026/09/25 06:21:44.243, 19 %, 56 MiB
2026/09/25 06:21:45.243, 42 %, 56 MiB
2026/09/25 06:21:46.243, 43 %, 56 MiB
2026/09/25 06:21:47.244, 19 %, 56 MiB
2026/09/25 06:21:48.244, 19 %, 56 MiB
2026/09/25 06:21:49.244, 42 %, 56 MiB
2026/09/25 06:21:50.244, 43 %, 56 MiB
2026/09/25 06:21:51.244, 19 %, 56 MiB
2026/09/25 06:21:52.244, 19 %, 56 MiB
2026/09/25 06:21:53.245, 42 %, 56 MiB
2026/09/25 06:21:54.245, 42 %, 56 MiB
2026/09/25 06:21:55.245, 19 %, 56 MiB
2026/09/25 06:21:56.245, 40 %, 56 MiB
2026/09/25 06:21:57.245, 42 %, 56 MiB
2026/09/25 06:21:58.245, 19 %, 56 MiB
2026/09/25 06:21:59.246, 19 %, 56 MiB
2026/09/25 06:22:00.246, 42 %, 56 MiB
2026/09/25 06:22:01.246, 42 %, 56 MiB
2026/09/25 06:22:02.246, 19 %, 56 MiB
2026/09/25 06:22:03.247, 19 %, 56 MiB
2026/09/25 06:22:04.247, 42 %, 56 MiB
2026/09/25 06:22:05.249, 42 %, 56 MiB
2026/09/25 06:22:06.249, 19 %, 56 MiB
2026/09/25 06:22:07.249, 41 %, 56 MiB
2026/09/25 06:22:08.249, 42 %, 56 MiB
2026/09/25 06:22:09.250, 19 %, 56 MiB
2026/09/25 06:22:10.255, 19 %, 56 MiB
2026/09/25 06:22:11.256, 42 %, 56 MiB
2026/09/25 06:22:12.256, 42 %, 56 MiB
2026/09/25 06:22:13.256, 19 %, 56 MiB
2026/09/25 06:22:14.256, 41 %, 56 MiB
2026/09/25 06:22:15.258, 42 %, 56 MiB
2026/09/25 06:22:16.258, 19 %, 56 MiB
2026/09/25 06:22:17.258, 19 %, 56 MiB
2026/09/25 06:22:18.258, 42 %, 56 MiB
2026/09/25 06:22:19.259, 22 %, 56 MiB
2026/09/25 06:22:20.259, 19 %, 56 MiB
2026/09/25 06:22:21.259, 43 %, 56 MiB
2026/09/25 06:22:22.259, 42 %, 56 MiB
2026/09/25 06:22:23.259, 19 %, 56 MiB
2026/09/25 06:22:24.260, 19 %, 56 MiB
2026/09/25 06:22:25.260, 42 %, 56 MiB
2026/09/25 06:22:26.260, 23 %, 56 MiB
2026/09/25 06:22:27.260, 19 %, 56 MiB
